productId,Member_number,Date,items,productName,price,Category
1,1808,21-07-2015,3,tropical fruit,7.8,Fresh Food
2,2552,05-01-2015,1,whole milk,1.8,Dairy
3,2300,19-09-2015,3,pip fruit,3.0,Fresh Food
4,1187,12-12-2015,3,other vegetables,0.8,Fresh Food
2,3037,01-02-2015,1,whole milk,1.8,Dairy
5,4941,14-02-2015,1,rolls/buns,1.2,Bakery & Sweets
4,4501,08-05-2015,3,other vegetables,0.8,Fresh Food
6,3803,23-12-2015,2,pot plants,3.5,Household & Hygiene
2,2762,20-03-2015,3,whole milk,1.8,Dairy
1,4119,12-02-2015,3,tropical fruit,7.8,Fresh Food
7,1340,24-02-2015,3,citrus fruit,1.5,Fresh Food
8,2193,14-04-2015,3,beef,19.5,Fresh Food
9,1997,21-07-2015,1,frankfurter,5.5,Fresh Food
10,4546,03-09-2015,3,chicken,7.2,Fresh Food
11,4736,21-07-2015,2,butter,3.2,Dairy
12,1959,30-03-2015,1,fruit/vegetable juice,2.1,Beverages
13,1974,03-05-2015,2,packaged fruit/vegetables,3.5,Fresh Food
14,2421,02-09-2015,2,chocolate,11.5,Bakery & Sweets
15,1513,03-08-2015,2,specialty bar,5.2,Bakery & Sweets
4,1905,07-07-2015,2,other vegetables,0.8,Fresh Food
16,2810,08-09-2015,1,butter milk,6.1,Dairy
2,2867,12-11-2015,1,whole milk,1.8,Dairy
1,3962,18-09-2015,2,tropical fruit,7.8,Fresh Food
1,1088,30-11-2015,2,tropical fruit,7.8,Fresh Food
17,4976,17-07-2015,1,bottled water,0.5,Beverages
18,4056,12-06-2015,1,yogurt,2.2,Dairy
19,3611,13-02-2015,1,sausage,3.1,Fresh Food
4,1420,14-01-2015,3,other vegetables,0.8,Fresh Food
20,4286,08-03-2015,3,brown bread,0.8,Bakery & Sweets
18,4918,27-01-2015,3,yogurt,2.2,Dairy
21,4783,22-10-2015,2,hamburger meat,12.3,Fresh Food
22,3709,26-10-2015,3,root vegetables,1.8,Fresh Food
23,4289,08-10-2015,2,pork,7.2,Fresh Food
8,1559,03-10-2015,2,beef,19.5,Fresh Food
24,2900,11-04-2015,3,pastry,3.1,Bakery & Sweets
12,1905,21-02-2015,2,fruit/vegetable juice,2.1,Beverages
25,3527,29-09-2015,3,canned beer,1.1,Beverages
22,1495,09-01-2015,3,root vegetables,1.8,Fresh Food
7,3558,03-04-2015,1,citrus fruit,1.5,Fresh Food
19,3128,20-04-2015,3,sausage,3.1,Fresh Food
1,1863,04-08-2015,1,tropical fruit,7.8,Fresh Food
